District,Indigenous Breed Cattle,Exotic Breed Cattle,Cross Breed Cattle,Total Cattle,Bufaloes,Indigenous Breed Sheep,Exotic Breed Sheep,Cross Breed Sheep,Total Sheep,Goats,Indigenous Breed Pigs,Exotic Breed Pigs,Cross Breed Pigs,Total Pigs,Rabbits,Dogs,Others,Total Livestock,Total Poultry,% of Total Livestock to state total,Veterinary Hospitals,Dispensaries,Primary Veterinary Centers,Mobile Dispensaries,Artificial Insemination Centers,Artificially Inseminated Animals,Animals Treated,Production of Milk In Thousand Tonnes,Production of Eggs In Lakhs,Meat Production In Tonnes,Fish catch In Tonnes,Ice Plants No.,Ice Plants Capacity MT/Day,Cold storage Centres No.,Cold storage Centres Capacity MT/Day,Tanks of Panchayth Raj No. of Fishing Tanks,Tanks of Minor Irrigation Department No. of Fishing Tanks,Full Time No of Families involved in fishing,Part Time No of Families involved in fishing,No. of Beneficiaries under Matsyashraya Yojane,No of Fishlets In Lakhs,No of Fish Markets
Bengaluru(U),20641,0,115941,136582,8453,72544,0,4758,77302,44725,7265,0,10849,18114,3506,127120,1336,417138,2421151,1.44,19,58,19,4,0,88895,1333415,334,2248,95322,5504,35,60,11,30,143,118,2661,7372,0,94.81,147
Bengaluru(R),36456,0,122364,158820,24381,123568,0,1302,124870,80740,4174,0,1878,6052,3967,26177,79,425086,8165758,1.47,13,61,24,4,0,92580,325349,289,2914,20234,2274,1,10,1,7,484,102,6182,759,0,43.42,8
Ramanagara,134447,0,125450,259897,30619,152391,0,547,152938,120238,1396,0,654,2050,1262,12694,247,579945,1284545,2.0,16,63,36,4,0,180546,373080,410,880,5796,6938,0,0,0,0,417,107,1852,3087,0,115.63,0
Chitradurga,241095,0,34794,275889,152852,939591,0,447,940038,231279,3009,0,151,3160,1491,37256,5131,1647096,2411780,5.68,18,62,69,6,0,106942,708906,215,2542,4983,6582,2,6,0,0,122,169,2210,1970,0,140.0,20
Davanagere,150478,0,114722,265200,139222,176831,0,156,176987,70306,3418,0,144,3562,333,17133,93,672836,3140373,2.32,14,66,70,0,0,176101,1301751,200,5302,4108,5247,0,0,0,0,99,94,2986,2347,0,85.18,4
Kolara,55416,0,173620,229036,45876,442903,2197,0,445100,86263,1872,0,2385,4257,312,36016,125,846985,4275529,2.92,26,59,22,5,0,119736,769846,326,2278,20461,1950,0,0,0,0,2328,150,8091,94946,55,36.88,1
Chikkaballapura,83709,0,162630,246339,47140,424558,0,8133,432691,137050,4475,0,263,4738,518,26894,143,895513,1660703,3.09,26,59,15,6,0,93619,633684,274,828,5592,2235,0,0,0,0,1341,214,1820,1005,0,55.14,9
Shivamogga,456368,0,112108,568476,149515,35633,0,1158,36791,58034,3865,0,142,4007,685,70201,191,887900,1739272,3.06,29,76,58,7,0,125590,552095,323,883,4930,24889,5,57,2,4,4978,448,3335,5900,0,356.8,23
Tumakuru,302707,0,224360,527067,181118,1060572,0,758,1061330,326890,6536,0,586,7122,1065,49673,5837,2160102,2107798,7.45,44,122,74,10,0,254665,590464,765,1618,5609,13222,0,0,0,0,1232,400,2813,4050,0,230.62,0
Chikkamagaluru,257740,0,79836,337576,70870,91155,0,157,91312,46068,1285,0,873,2158,1059,42577,299,591919,1178382,2.04,25,71,38,7,0,106992,410386,184,468,8566,4307,0,0,0,0,1766,128,1685,1558,0,75.73,10
Dakshina Kannada,113747,0,139968,253715,3700,242,0,23,265,24628,1493,0,4970,6463,1166,146510,20,436467,1721908,1.51,20,39,47,5,0,50687,265985,216,381,4865,183309,63,1727,11,387,54,0,2581,1786,0,1.92,94
Udupi,155309,0,96758,252067,8846,61,0,9,70,6600,1063,0,2035,3098,1396,92845,11,364933,1193772,1.26,12,39,37,3,0,52141,211750,171,415,2459,124603,91,3144,17,7175,180,5,33685,6694,0,3.37,112
Hassan,337112,0,269348,606460,141264,159544,0,1141,160685,99405,1546,0,609,2155,924,42657,812,1054362,2578599,3.64,32,107,72,8,0,213606,541657,651,757,659,12898,2,1,0,0,3132,172,3106,12544,0,199.7,17
Kodagu,55595,0,32833,88428,14476,1158,0,243,1401,7785,5339,0,11609,16948,723,47131,146,177038,207886,0.61,17,22,31,3,0,16415,215759,54,186,3722,4000,0,0,0,0,509,0,385,2750,0,41.0,50
Mandya,153122,0,213618,366740,145516,339383,0,2391,341774,261300,5906,0,896,6802,341,25961,721,1149155,1293779,3.96,37,101,74,7,0,155387,772601,509,1101,11238,22756,0,0,0,0,688,179,12870,2390,0,360.1,20
Mysuru,316327,0,233225,549552,45419,217001,0,1380,218381,168299,3519,0,1957,5476,1157,33191,290,1021765,3065218,3.52,31,91,58,7,0,126493,531399,458,16813,16347,8902,2,15,3,19,102,873,8641,5461,0,129.37,27
Chamarajanagara,119629,0,142891,262520,20887,128314,0,169,128483,102854,996,0,53,1049,254,12321,152,528520,377463,1.82,14,37,28,4,0,47772,262617,176,210,2799,4052,0,0,0,0,221,91,531,2050,0,75.36,0
Belagavi,415839,0,176994,592833,829370,787386,0,1543,788929,491545,25387,0,289,25676,161,75232,5363,2809109,2738292,9.69,37,155,69,10,0,341749,818333,1046,1951,7687,5417,13,254,2,40,498,221,4142,2108,0,86.12,3
Vijayapura,248310,0,4715,253025,156860,309240,0,38,309278,367563,22666,0,6,22672,24,45305,1984,1156711,300018,3.99,16,70,49,5,0,63848,289832,260,421,1219,7097,4,25,0,0,110,160,1606,3016,0,64.52,190
Bagalkot,236797,0,42618,279415,234802,733501,0,99,733600,324741,33078,0,389,33467,908,37774,1603,1646310,1372196,5.68,18,82,37,6,0,94897,507085,227,2304,12864,862,2,10,0,0,155,42,1725,2917,0,15.18,13
Dharwad,149877,0,43904,193781,79513,73690,0,292,73982,62140,3162,0,0,3162,351,20378,98,433405,904421,1.49,10,55,42,5,0,86604,457267,171,919,8967,2517,3,20,2,20,567,128,1656,420,10,39.01,3
Gadag,118502,0,24153,142655,60989,258712,0,335,259047,106353,6012,0,557,6569,341,16711,322,592987,156270,2.04,12,61,8,5,0,46923,271485,95,339,304,834,1,10,0,0,96,32,159,315,0,4.7,29
Haveri,224776,0,59833,284609,98468,253708,0,1000,254708,127757,6339,0,114,6453,298,26866,931,800090,885232,2.76,20,69,50,7,0,107065,491791,192,1035,19441,3580,1,5,0,0,1153,196,4957,5170,0,100.47,3
Uttara Kannada,289788,0,47167,336955,87816,4549,0,234,4783,8961,1022,0,469,1491,508,57544,106,498164,537037,1.72,22,84,26,11,0,63821,611547,171,805,2973,114961,48,1068,4,120,1090,86,16105,19446,0,50.97,44
Ballari,370220,0,40732,410952,178929,915056,0,7405,922461,220151,15237,0,0,15237,547,32383,423,1781083,2776779,6.14,30,88,25,11,0,97810,674653,252,6209,4667,10668,4,37,0,0,137,101,3154,3883,0,197.33,2
Bidar,219964,0,14555,234519,130781,88043,0,359,88402,145942,18591,0,121,18712,15,9295,2822,630488,402661,2.17,28,81,0,5,0,43418,411879,233,734,1415,337,1,1,0,0,87,92,8900,6000,0,32.0,12
Kalburgi,460488,0,12629,473117,91254,99843,0,218,100061,372951,23216,0,699,23915,35,31792,504,1093629,362754,3.77,30,109,68,7,0,43135,644534,164,442,2995,5540,0,0,0,0,45,80,2618,910,0,75.0,9
Yadgir,308133,0,2594,310727,76855,460889,0,2593,463482,257360,23430,0,74,23504,126,19621,396,1152071,275307,3.97,14,42,39,3,0,18124,297003,89,295,1471,2465,0,0,0,0,76,263,2510,2820,0,50.01,0
Raichur,336753,0,22371,359124,136854,646356,0,1193,647549,281710,13886,0,186,14072,45,31458,107,1470919,372688,5.07,27,51,22,5,0,20920,447172,179,995,3288,11842,1,5,1,10,244,80,1233,2816,0,171.36,0
Koppal,234622,0,25786,260408,77860,547059,0,2,547061,156509,12107,0,550,12657,40,24406,117,1079058,3534459,3.72,18,49,10,4,0,46355,405308,201,9531,4997,3526,1,7,0,0,47,52,3992,697,0,67.99,11
