Kodagu,4102,135,121989,20727,142716,1.07,144041,554519.0,274608,279911,0.91,560990,274599,286391,0.78,234161,239370,473531,40447,40541,80988,554519,1.09,0.07,7.44,996,1003,955,1019,1022,1002,2.31,54733,46781,7952,43134,36174,6960,9.87,9.88,9.82,7.69,7.63,8.0,977,975,988,978,978,974,0.1,31359,33259,64618,4400,4566,8966,73584,9.14,8.99,10.23,12.29,12.53,10.79,13.27,13.65,11.07,27643,28655,56298,867,889,1756,58054,25.89,25.4,44.05,8.41,9.49,1.62,10.47,11.89,2.17,67771,66236,134007,67768,67769,135537,179972,182444,362416,179968,186667,366635,26865,31231,58096,26864,31954,58818,554519,560990,554519,555143,555771,556405,557044.0,557688.0,558338,558993,559653,560319.0,560990.0,221713,227273,448986,80.97,43837,43437,87274,15.74,8449,8681,17130,3.09,89,50,139,0.03,66,60,126,0.02,137,113,250,0.05,109,111,220,208,186,394,0.1,274608,279911,554519,140222,88192,228414,22197,8142,30339,162419,96334,258753,92.76,7.24,49.7,7.59,5.43,0.56,86.42,50.3,86.98
Mandya,4962,364,355271,73354,428625,3.21,438450,1805769.0,905085,900684,2.96,1850467,927498,922969,2.57,751243,746164,1497407,153842,154520,308362,1805769,2.38,1.11,9.07,986,990,967,995,993,1004,0.91,172685,141058,31627,145816,115805,30011,9.56,9.42,10.26,7.88,7.65,8.92,934,929,960,939,938,944,0.54,110241,111702,221943,21434,21917,43351,265294,7.31,6.9,9.47,14.02,14.02,14.01,14.69,14.82,14.06,8814,8547,17361,2496,2545,5041,22402,30.3,28.59,36.54,0.97,0.91,1.31,1.24,1.16,1.63,209784,195537,405321,208139,207143,415282,595291,589662,1184953,608373,605459,1213832,100010,115485,215495,110942,110411,221353,1805769,1850467,1805769,1810114,1814490,1818890,1823317.0,1827773.0,1832255,1836766,1841304,1845870.0,1850467.0,858789,853906,1712695,94.85,39000,38801,77801,4.31,3948,4558,8506,0.47,183,139,322,0.02,161,138,299,0.02,1814,1793,3607,0.2,63,46,109,1127,1303,2430,0.13,905085,900684,1805769,432897,176932,609829,81251,23821,105072,514148,200753,714901,82.04,17.96,51.74,44.64,24.81,2.05,28.51,48.26,30.56
Mysuru,6307,476,406952,294016,700968,5.25,792117,3001127.0,1511600,1489527,4.91,3437914,1730738,1707176,4.78,887500,868214,1755714,624100,621313,1245413,3001127,13.63,5.84,26.81,964,962,967,985,978,996,2.18,305561,184028,121533,292509,159107,133402,10.18,10.48,9.76,8.51,8.56,8.45,962,967,952,961,963,959,-0.1,191232,189156,380388,78099,78156,156255,536643,14.76,9.06,31.46,17.71,21.02,12.1,17.88,21.67,12.55,128281,128800,257081,38416,39050,77466,334547,23.29,14.64,64.48,10.27,13.52,4.8,11.15,14.64,6.22,360993,347880,708873,411514,400056,811570,1003328,984472,1987800,1146004,1130991,2276995,147279,157175,304454,176105,173244,349349,3001127,3437914,3001127,3041067,3081790,3123312,3165647.0,3208821.0,3252850,3297753,3343551,3390264.0,3437914.0,1324029,1307956,2631985,87.7,146099,144450,290549,9.68,18610,20751,39361,1.31,671,584,1255,0.04,11030,5164,16194,0.54,7387,7032,14419,0.48,252,241,493,3522,3349,6871,0.25,1511600,1489527,3001127,483222,184269,667491,323809,90808,414617,807031,275077,1082108,82.34,17.66,56.21,26.58,23.66,2.14,47.61,43.79,49.76
Chamarajanagara,5648,181,204137,40737,244874,1.83,257964,1020791.0,512231,508560,1.67,1082139,538322,543817,1.5,424884,420933,845817,87347,87627,174974,1020791,5.73,3.48,18.15,971,971,970,993,991,1003,2.27,100648,82603,18045,88727,69838,18889,9.86,9.77,10.31,8.2,7.98,9.14,964,965,960,953,954,951,-1.14,111886,109764,221650,19008,18787,37795,259445,9.18,6.75,26.04,24.61,25.4,20.25,25.42,26.21,21.6,47749,48685,96434,11620,12165,23785,120219,13.3,13.59,12.12,10.99,10.39,14.33,11.78,11.4,13.59,119691,113960,233651,126884,120808,247692,334699,333789,668488,354813,353849,708662,57841,60811,118652,61317,64468,125785,1020791,1082139,1020791,1026640,1032551,1038523,1044559.0,1050657.0,1056820,1063050,1069345,1075707.0,1082139.0,472644,469427,942071,92.29,23894,23316,47210,4.62,10990,11193,22183,2.17,79,57,136,0.01,2489,2383,4872,0.48,397,364,761,0.07,70,70,140,1668,1750,3418,0.36,512231,508560,1020791,227375,96156,323531,44746,13131,57877,272121,109287,381408,79.18,20.82,52.81,23.48,44.49,2.91,29.12,47.19,32.03
Belagavi,13433,356,719233,264621,983854,7.37,1104621,4779661.0,2423063,2356598,7.82,5426096,2750361,2675735,7.54,1783195,1730276,3513471,639868,626322,1266190,4779661,13.41,11.45,19.6,960,963,950,973,970,979,1.35,626269,476743,149526,628990,481688,147302,13.1,13.57,11.81,11.59,12.11,10.17,921,923,915,934,936,929,1.41,220449,217056,437505,69639,70274,139913,577418,24.98,21.75,37.67,10.96,11.5,9.26,12.08,12.45,11.05,124260,125132,249392,24006,23800,47806,297198,22.08,19.38,40.74,5.78,6.64,3.04,6.22,7.1,3.78,709480,656901,1366381,802004,748774,1550778,1485097,1442171,2927268,1683459,1640026,3323485,228486,257526,486012,261235,290598,551833,4779661,5426096,4779661,4840453,4902069,4964519,5027816.0,5091974.0,5157003,5222916,5289728,5357450.0,5426096.0,2046663,1991668,4038331,84.49,267622,260790,528412,11.06,9054,9364,18418,0.39,1159,878,2037,0.04,581,505,1086,0.02,91671,86639,178310,3.73,82,67,149,6231,6687,12918,0.27,2423063,2356598,4779661,911213,416722,1327935,326797,79769,406566,1238010,496491,1734501,82.37,17.63,55.95,33.81,30.85,2.87,32.48,44.05,35.34
Vijayapura,10498,207,309751,99055,408806,3.06,484399,2177331.0,1111022,1066309,3.56,2625816,1343921,1281895,3.65,813050,774917,1587967,297972,291392,589364,2177331,20.5,18.75,26.73,950,951,950,960,954,981,1.05,318406,239253,79153,353632,276776,76856,14.62,15.07,13.43,13.47,14.12,11.54,928,932,914,931,933,924,0.32,179485,170698,350183,46955,45635,92590,442773,32.47,30.37,43.13,18.5,19.8,13.88,20.34,22.05,15.71,15461,14850,30311,4451,4552,9003,39314,30.82,17.78,140.82,1.66,1.9,0.8,1.81,1.91,1.53,358717,333076,691793,432577,401656,834233,656036,629818,1285854,738115,729125,1467240,96269,103415,199684,156632,167708,324340,2177331,2625813,2177331,2218412,2260287,2302971,2346481.0,2390833.0,2436043,2482129,2529107,2576996.0,2625816.0,912900,873930,1786830,82.07,187716,181872,369588,16.97,1147,1286,2433,0.11,296,262,558,0.03,188,186,374,0.02,4360,4305,8665,0.4,242,257,499,4173,4211,8384,0.4,1111022,1066309,2177331,376922,211903,588825,131484,39774,171258,508406,251677,760083,81.93,18.07,57.39,28.26,37.9,2.74,31.1,42.61,33.84
Bagalkot,6552,288,242690,118459,361149,2.7,409055,1889752.0,950111,939641,3.09,2169452,1090736,1078716,3.01,650267,641639,1291906,299844,298002,597846,1889752,14.4,10.01,24.94,980,984,970,989,987,994,0.92,271908,193893,78015,280395,191057,89338,14.39,15.01,13.05,12.93,13.73,11.48,940,945,924,935,936,931,-0.53,118054,119960,238014,40081,41054,81135,319149,27.35,22.91,42.44,15.17,16.5,11.9,16.89,18.42,13.57,40322,40498,80820,8148,8235,16383,97203,21.23,14.96,65.8,4.85,5.99,2.06,5.14,6.26,2.74,302683,284905,587588,351576,322906,674482,570701,561744,1132445,655218,644935,1300153,76727,92992,169719,88073,106744,194817,1889752,2169452,1889752,1915710,1942092,1968907,1996163.0,2023869.0,2052034,2080665,2109773,2139363.0,2169452.0,821159,813070,1634229,86.48,110826,109165,219991,11.64,1709,1724,3433,0.18,231,212,446,0.02,230,182,412,0.02,12939,12259,25198,1.33,73,93,166,2944,2936,5880,0.33,950111,939641,1889752,312009,173005,485014,143401,47992,191393,455410,220997,676407,82.68,17.32,56.71,23.98,37.07,5.48,33.47,43.29,38.95
Dharwad,4260,434,160674,222026,382700,2.87,435608,1847023.0,937206,909817,3.02,2129928,1080497,1049431,2.96,409416,388068,797484,527790,521749,1049539,1847023,15.13,10.41,19.0,949,946,951,971,948,989,2.32,219942,101160,118782,222158,96787,125371,11.91,12.68,11.32,10.43,10.99,10.03,943,942,944,944,933,954,0.11,36366,35021,71387,52771,53697,106468,177855,34.77,30.55,37.75,8.23,7.57,8.76,9.63,8.95,10.14,25586,24503,50089,18587,18872,37459,87548,24.28,13.32,42.75,4.39,6.12,2.98,4.74,6.28,3.57,251163,237464,488627,28956,534409,563365,602758,581048,1183806,695066,670219,1365285,83285,91305,174590,96009,105269,201278,1847023,2129928,1847023,1873399,1900182,1927379,1954997.0,1983042.0,2011521,2040442,2069812,2099638.0,2129928.0,706127,683893,1390020,75.26,196002,190832,386834,20.94,14013,14734,28747,1.56,773,713,1486,0.08,378,337,715,0.04,14895,14142,29037,1.57,1410,1338,2748,3608,3828,7436,0.55,937206,909817,1847023,232906,119781,352687,267994,70267,338261,500900,190048,690948,88.04,11.96,57.51,20.93,26.46,2.1,50.51,42.49,52.61
Gadag,4657,229,139782,79314,219096,1.64,237936,1064570.0,537147,527423,1.74,1167084,584911,582173,1.62,347585,337676,685261,189562,189747,379309,1064570,9.54,8.83,10.85,969,970,968,982,971,1001,1.34,132442,87350,45092,127271,83152,44119,12.44,12.75,11.89,10.91,11.12,10.52,952,950,955,947,946,950,-0.53,64485,63030,127515,23260,23421,46681,174196,26.77,25.71,29.76,14.14,16.11,10.51,16.36,18.61,12.31,25558,25079,50637,5417,5600,11017,61654,13.31,10.43,28.79,5.6,7.28,2.5,5.79,7.39,2.9,149697,142384,292081,160526,159723,320249,341413,329518,670931,368670,366827,735497,46037,55521,101558,55809,55529,111338,1064570,1167084,1064570,1074363,1084257,1094247,1104340.0,1114539.0,1124836,1135237,1145745,1156363.0,1167084.0,458411,449339,907750,85.27,72227,71438,143665,13.5,1653,1779,3432,0.32,135,96,231,0.02,36,43,79,0.01,3064,2929,5993,0.56,37,37,74,1584,1762,3346,0.32,537147,527423,1064570,187224,107566,294790,94863,33798,128661,282087,141364,423451,85.42,14.58,53.43,25.71,40.41,3.12,30.76,46.57,33.88
Haveri,4823,331,254180,76234,330414,2.47,363070,1597668.0,819128,778540,2.62,1776077,907107,868970,2.47,631122,596770,1227892,188006,181770,369776,1597668,11.02,8.95,18.89,944,942,948,950,946,968,0.64,195317,150354,44963,187482,143204,44278,12.23,12.24,12.16,10.56,10.58,10.48,957,959,946,946,953,921,-1.15,95956,91722,187678,16256,16042,32298,219976,25.44,23.51,38.26,12.19,13.36,7.7,13.77,15.28,8.73,64230,61317,125547,7879,7954,15833,141380,11.18,9.0,33.47,8.84,10.16,3.79,8.85,10.22,4.28,224248,212732,436980,249275,236812,486087,525586,493429,1019015,581038,551987,1133025,69294,72379,141673,80495,76471,156966,1597668,1776078,1597668,1614570,1631676,1648984,1666497.0,1684221.0,1702157,1720308,1738675,1757264.0,1776077.0,657501,624377,1281878,80.23,152531,145396,297927,18.65,1179,1227,2406,0.15,209,210,419,0.03,35,33,68,0.0,5119,4715,9834,0.62,336,366,702,2218,2216,4434,0.32,819128,778540,1597668,345321,139509,484830,93439,23682,117121,438760,163191,601951,82.45,17.55,54.3,27.81,42.63,2.77,26.78,45.7,29.55
Uttara Kannada,10277,140,228887,95643,324530,2.43,342420,1437169.0,726256,710913,2.35,1526064,767964,758100,2.12,514910,503278,1018188,211346,207635,418981,1437169,6.17,5.43,8.01,971,971,969,979,977,982,0.82,150115,106741,43374,130203,89069,41134,10.45,10.48,10.35,8.53,8.3,9.09,946,947,945,955,957,950,0.95,39392,39467,78859,18449,19123,37572,116431,14.26,11.48,20.58,7.53,7.32,8.03,8.1,7.75,8.97,13976,13973,27949,3119,3171,6290,34239,43.98,47.22,31.15,1.76,1.97,1.24,2.38,2.74,1.5,178830,168380,347210,189259,179606,368865,478713,464903,943616,506553,495915,1002468,68713,77630,146343,72371,82359,154730,1437169,1526063,1437169,1445811,1454506,1463257,1472062.0,1480924.0,1489838,1498810,1507838,1516922.0,1526064.0,597955,589351,1187306,82.61,94031,93943,187974,13.08,22051,22479,44530,3.1,176,129,305,0.02,9860,2944,12804,0.89,1863,1761,3624,0.25,35,29,64,285,277,562,0.05,726256,710913,1437169,277300,93034,370334,103445,24525,127970,380745,117559,498304,81.89,18.11,57.66,18.34,19.12,1.56,60.99,42.34,62.55
Ballari,9896,278,330971,216708,547679,4.1,662188,2754598.0,1391243,1363355,4.51,3380240,1707231,1673009,4.7,868970,846551,1715521,522273,516804,1039077,2754598,19.98,15.52,29.18,966,973,957,980,976,987,1.45,383706,246054,137652,374763,224761,150002,13.93,14.34,13.25,11.09,11.14,11.01,947,953,934,960,957,966,1.37,210282,207727,418009,86193,87497,173690,591699,37.09,34.19,45.89,18.91,20.91,14.0,21.48,24.37,16.72,184442,182184,366626,66726,68362,135088,501714,23.06,18.54,39.2,18.0,20.45,12.0,18.21,21.37,13.0,380995,365155,746150,525099,503268,1028366,773567,749321,1522888,1066153,1032737,2098890,82392,101165,183557,113555,139429,252984,2452595,3380240,2754598,2810869,2868446,2927357,2987644.0,3049338.0,3112476,3177095,3243235,3310936.0,3380240.0,1199908,1175383,2375291,86.23,176269,172623,348892,12.67,6923,7247,14170,0.51,575,484,1059,0.04,150,156,306,0.01,4401,4191,8592,0.31,118,122,240,2899,3149,6048,0.23,1391243,1363355,2754598,452347,291031,743378,268169,83089,351258,720516,374120,1094636,86.16,13.84,53.88,23.89,37.13,2.36,36.62,46.12,38.98
Bidar,5448,313,239979,79958,319937,2.4,359199,1703300.0,870665,832635,2.79,1935760,989517,946243,2.69,651250,626098,1277348,219415,206537,425952,1703300,13.37,10.35,23.5,949,956,923,956,961,941,0.74,224442,168796,55646,209023,152959,56064,13.18,13.21,13.06,10.8,10.91,10.5,941,948,921,942,949,923,0.11,168884,161535,330419,35396,33970,69366,399785,33.79,28.11,69.59,23.47,25.87,16.28,23.47,25.87,16.28,109197,105562,214759,10590,10473,21063,235822,29.42,26.23,74.22,13.85,16.81,4.94,13.85,16.81,4.94,268922,255088,524010,305623,289902,595525,519557,485296,1004853,590464,551528,1141992,82186,92251,174437,93402,104841,198243,1703300,1935760,1703300,1725040,1747089,1769484,1792199.0,1815251.0,1838645,1863387,1886482,1910939.0,1935760.0,658203,631506,1289709,75.72,172988,162196,335184,19.68,17861,17577,35438,2.08,594,551,1145,0.07,15510,14943,30453,1.79,341,339,680,0.04,244,277,521,4924,5246,10170,0.62,870665,832635,1703300,293463,144463,437926,90967,22870,113837,384430,167333,551763,78.53,21.47,58.75,20.11,39.86,2.58,37.45,41.25,40.02
Kalburgi,10954,234,307351,164250,471601,3.53,543960,2566326.0,1301755,1264571,4.2,3029841,1533039,1496802,4.21,861444,838518,1699962,440311,426053,866364,2566326,18.01,16.54,21.17,958,972,929,971,973,968,1.36,365372,254972,110400,372228,256446,115782,14.24,15.0,12.74,12.29,13.02,10.92,931,939,911,943,944,940,1.29,244292,235288,479580,85799,83403,169202,648782,25.48,26.11,23.54,23.77,26.15,18.67,25.28,28.21,19.53,25127,24742,49869,7703,7687,15390,65259,38.45,28.08,88.92,2.17,2.63,1.17,2.54,2.93,1.78,423079,396858,819937,498645,467920,966565,777375,752231,1529606,910651,881206,1791857,101301,115482,216783,117472,136466,253938,2566326,3012360,2566326,2609236,2652875,2697257,2742394.0,2788300.0,2834990,2882474,2930768,2979885.0,3029841.0,1020105,990909,2011014,78.36,260888,252237,513125,19.99,4167,4177,8344,0.33,457,369,826,0.03,4915,4674,9589,0.37,2492,2373,4865,0.19,180,150,330,8551,9682,18233,0.73,1301755,1264571,2566326,388098,217192,605290,185103,53870,238973,573201,271062,844263,77.59,22.41,57.64,20.24,38.16,2.38,39.12,42.4,41.6
Yadgir,5270,223,162187,39876,202063,1.51,248012,1174271.0,590329,583942,1.92,1445226,722924,722302,2.01,479078,474516,953594,111251,109426,220677,1174271,23.0,20.0,35.0,982,986,965,989,990,984,0.71,190279,158127,32152,204158,166108,38050,16.2,16.58,14.57,14.13,14.49,12.74,952,955,938,951,954,937,-0.11,121312,120409,241721,15892,15702,31594,273315,36.28,33.55,61.23,20.97,22.82,12.01,23.28,25.35,14.32,64574,64150,128724,8990,9135,18125,146849,37.17,34.8,56.67,11.2,12.04,7.1,12.51,13.5,8.21,212268,200836,413104,244105,240063,484168,337577,330829,668406,429915,416018,845933,40484,52277,92761,57982,57143,115125,1174271,1445226,1174271,1198786,1223839,1249444,1275612.0,1302359.0,1329692,1357634,1386193,1415385.0,1445226.0,501756,496218,997974,84.99,78221,77119,155340,13.23,4207,4470,8677,0.74,179,152,331,0.03,3956,4014,7970,0.68,782,737,1519,0.13,513,483,996,715,749,1464,0.2,590329,583942,1174271,227172,143166,370338,49300,17603,66903,276472,160769,437241,79.83,20.17,53.36,29.09,42.84,2.41,25.66,46.64,28.06
Raichur,8442,228,267585,96268,363853,2.72,439268,1928812.0,964511,964301,3.16,2225308,1126701,1098607,3.09,717972,720492,1438464,246539,243809,490348,1928812,15.51,15.18,16.52,983,992,958,1000,1004,989,1.73,283733,219804,63929,284504,218021,66483,14.71,15.28,13.04,12.79,13.18,11.63,964,969,948,950,951,949,-1.45,156829,156752,313581,43530,43822,87352,400933,26.37,26.26,26.76,19.0,19.89,16.37,20.79,21.8,17.81,165593,168430,334023,16508,16540,33048,367071,21.13,20.19,31.52,18.15,22.25,5.97,19.03,23.22,6.74,319622,304272,623894,136389,128692,265081,583394,580869,1164263,376039,364417,740456,61495,79160,140655,68531,73665,142196,1928812,1147733,1928812,1956834,1985284,2014143,2043422.0,2073128.0,2103269,2133852,2164878,2196364.0,2225308.0,815910,818152,1634062,84.72,137277,134745,272022,14.1,5136,5258,10394,0.54,302,236,538,0.03,1119,1146,2265,0.12,2177,1979,4156,0.22,19,10,29,2571,2775,5346,0.27,964511,964301,1928812,346712,228681,575393,114709,35883,150592,461421,264564,725985,80.36,19.64,53.16,27.15,42.45,2.11,28.28,46.84,30.39
Koppal,5570,250,208844,55751,264595,1.98,303082,1389920.0,699926,689994,2.28,1615277,814047,801230,2.24,550227,541027,1091254,149699,148967,298666,1389920,16.21,15.88,17.86,983,985,971,986,983,998,0.31,201654,162150,39504,195613,163468,32145,14.51,14.86,13.23,12.11,12.2,11.67,953,952,958,958,955,973,0.52,105848,105157,211005,23493,24110,47603,258608,39.63,40.28,35.7,15.48,15.93,13.26,18.61,19.34,15.94,74477,73027,147504,8284,8483,16767,164271,18.53,18.52,18.63,11.59,12.9,4.98,11.82,13.52,5.61,227568,217181,444749,264672,252592,517264,421644,408401,830045,490421,474990,965411,50714,64412,115126,58281,74322,132603,1389920,1615278,1389920,1410959,1432316,1453997,1475981.0,1498354.0,1521040,1544068,1567448,1591183.0,1615277.0,613461,604563,1218024,87.63,81373,80397,161770,11.64,2028,2053,4081,0.29,161,135,296,0.02,42,43,85,0.01,1510,1388,2898,0.21,234,227,461,1117,1188,2305,0.2,699926,689994,1389920,255794,154233,410027,73298,24764,98062,329092,178997,508089,77.6,22.4,52.89,24.96,41.7,2.87,30.48,47.11,33.35
