District,DCC Bank Branches Lakhs,Loan Members Lakhs,Agri Loan Lakhs,Other Loan Lakhs,Total Loan Lakhs,In Lakhs Deposits Lakhs,No. of Pld Banks,No of Members Availed Loan,Agriculture Loan,Other Loan,Total Loan,Deposits,Agricultural Society,Agricultural Members,Non-Agricultural Society,Non-Agricultural Members,Total Society,Total Members,Marketing Society,Marketing Members,Housing Society,Housing Members,Milk Society,Milk Members,Others Society,Others Members,Total Society
Bengaluru(U),46,11642,3631.5,6879.25,10510.75,14843.88,5,4692,6242.05,997.17,7239.22,427.82,24,74401,571,456445,595,530846,25,8886,240,194122,332,69803,20,7541,617
Bengaluru(R),8,23896,12020.91,5970.75,17991.66,18922.56,4,395,438.19,79.0,517.19,99.0,78,32446,41,34660,119,67106,4,20260,19,9230,815,135380,270,55180,1108
Ramanagara,10,61315,29440.06,7343.16,36783.22,18513.93,4,4775,5103.79,44.61,5148.4,0.0,100,134437,40,35301,140,169738,4,14363,15,4814,951,152366,180,58904,1150
Chitradurga,14,45739,25073.4,5407.52,30480.92,30524.19,6,3823,3225.26,76.79,3302.05,370.3,165,303105,73,70026,238,373131,6,8909,20,3088,379,47415,367,85414,772
Davanagere,18,82912,29051.87,16676.21,45728.08,28575.39,5,8095,2932.77,268.99,3201.76,467.87,177,226196,128,116979,305,343175,5,4232,33,14495,394,58162,659,77570,1091
Kolara,7,19246,16304.07,44430.4,60734.47,18042.87,5,3491,5893.49,14.27,5907.76,141.43,104,165193,45,11343,149,176536,5,14151,25,14663,1056,191391,469,222700,1555
Chikkaballapura,6,20865,19996.44,16432.35,36428.79,12988.03,5,10177,6292.83,38.78,6331.61,90.95,158,221663,26,7859,184,229522,6,14656,19,12590,1074,149201,266,73248,1365
Shivamogga,29,101783,42071.0,1211.0,43282.0,157911.0,8,649,1310.41,0.0,1310.41,473.3,172,234252,135,160877,307,395129,24,62801,29,30659,547,96987,260,111283,860
Tumakuru,34,91614,38156.78,64801.19,102957.97,121014.0,10,8574,6439.01,1026.24,7465.25,918.92,242,435832,197,145938,439,581770,10,14507,45,11223,1303,246670,444,456924,1802
Chikkamagaluru,28,18025,50432.55,27332.99,77765.54,84325.34,8,803,1194.75,0.0,1194.75,645.73,126,221764,42,34808,168,256572,7,14092,11,5361,246,37351,166,84971,430
Dakshina Kannada,62,172577,108883.18,144115.16,252998.34,284586.96,7,14893,12608.55,468.24,13076.79,10083.57,116,377806,67,287859,183,665665,6,5634,20,6755,391,87980,223,504845,640
Udupi,43,70526,30056.62,43357.7,73414.32,136009.92,3,4978,5625.07,90.62,5715.69,5305.57,54,310160,73,156796,127,466956,3,35971,9,4960,338,111714,192,372109,542
Hassan,32,20534,55443.41,32621.96,88065.37,122344.8,8,740,546.49,0.0,546.49,342.76,226,373335,66,41633,292,414968,12,13047,36,14761,1304,189873,282,71086,1634
Kodagu,17,25181,53826.76,32640.48,86467.24,92694.0,3,1940,949.78,682.63,1632.41,558.41,73,137397,28,17856,101,155253,11,13958,1,1137,34,5453,186,115500,232
Mandya,55,213397,71517.92,49766.81,121284.73,133266.31,7,7578,6308.94,156.31,6465.25,196.31,232,408879,88,43206,320,452085,7,28005,34,15035,1259,307762,300,161975,1600
Mysuru,23,52330,40429.35,8014.08,48443.43,42254.17,7,7216,4608.71,56.74,4665.45,538.44,201,209532,134,136178,335,345710,7,10762,284,143879,1117,203930,902,204791,2310
Chamarajanagara,9,14981,11334.42,2181.85,13516.27,10531.88,4,3712,1465.57,53.15,1518.72,397.02,100,118199,18,7909,118,126108,4,4837,8,2213,492,108422,199,87465,703
Belagavi,101,428943,183033.7,173588.5,356622.2,372513.98,12,22598,8711.98,1006.01,9717.99,706.72,1223,456554,782,392216,2005,848770,11,21017,105,23934,854,90506,2089,421573,3059
Vijayapura,41,209645,116062.08,96911.17,212973.25,232208.02,5,1667,1885.98,1172.71,3058.69,714.98,289,460598,318,254566,607,715164,9,6984,49,8938,206,30098,628,157516,892
Bagalkot,48,27888,127632.14,133056.97,260689.11,250898.47,6,557,1453.92,0.0,1453.92,1388.86,278,390324,363,336105,641,726429,6,13341,35,5565,359,48903,858,246217,1258
Dharwad,14,24376,10669.37,5523.32,16192.69,23198.49,5,4541,4368.04,65.78,4433.82,705.84,164,173611,181,106855,345,280466,4,4354,84,39767,198,23043,530,431824,816
Gadag,7,24093,10183.06,4141.32,14324.38,15913.37,5,7903,5527.18,316.88,5844.06,223.98,175,153150,199,61319,374,214469,7,7037,29,3227,202,24861,385,151798,623
Haveri,15,30190,10847.66,4224.91,15072.57,20420.71,7,6281,5647.47,1447.94,7095.41,896.38,231,270220,1006,424691,1237,694911,7,10990,21,4772,479,74684,740,604580,1247
Uttara Kannada,54,24324,89742.5,88703.83,178446.33,233666.2,25,49565,8513.83,13944.03,22457.86,13819.73,178,270697,120,259980,298,530677,9,48043,16,2879,263,27748,308,291876,596
Ballari,30,101058,68696.52,34617.57,103314.09,105694.39,8,3554,5150.49,0.0,5150.49,1382.62,183,406776,75,37482,258,444258,9,16171,20,7307,439,65943,587,245211,1055
Bidar,45,184022,90645.33,139189.64,229834.97,179627.92,5,2176,3928.3,25.01,3953.31,53.43,185,218269,158,75741,343,294010,6,3470,45,5530,447,45221,16,6400,514
Kalburgi,7,57037,22173.94,490.8,22664.74,10782.67,7,131,641.31,8.38,649.69,66.32,217,260987,180,26613,397,287600,8,9232,66,16617,358,43800,833,670720,1265
Yadgir,3,30560,7165.04,0.0,7165.04,5973.01,3,209,421.64,106.53,528.17,182.21,102,140382,55,28390,157,168772,5,9480,12,1526,87,8888,562,686996,666
Raichur,14,61289,31077.27,11709.34,42786.61,77279.08,5,2198,1362.85,123.68,1486.53,32.72,135,208276,66,32420,201,240696,5,6475,38,12910,216,41263,813,331517,1072
Koppal,8,37607,15030.43,7911.0,22941.43,35188.61,4,2525,4247.9,18.28,4266.18,197.45,121,186939,47,17910,168,204849,4,8845,21,6559,292,38273,304,113962,621
